stop_seq,StopID,ONSTREET,ATSTREET,Lat,Lon,cum_dist_m,spacing_real_m,placeholder_m
1.0,2107,Dufferin St,Wilson Ave South Side,43.731126,-79.458778,0.0,,
2.0,2105,Dufferin St,Whitley Ave,43.729347,-79.458372,200.4875926281144,200.4875926281144,201.00110794555238
3.0,2024,Dufferin St,Bridgeland Ave South Side,43.726345,-79.457682,538.8678682594656,338.38027563135114,337.0248107102622
4.0,2064,Dufferin St,Jane Osler Blvd - Yorkdale Shopping Centre,43.724737,-79.457304,720.2309588735143,181.36309061404876,176.39223883796967
5.0,2019,Dufferin St,Bentworth Ave,43.721949,-79.456556,1036.01591066056,315.7849517870456,296.991933385376
6.0,2076,Dufferin St,Orfus Rd,43.720555,-79.456276,1192.6463165285588,156.63040586799897,165.1049786924436
7.0,2087,Dufferin St,Samor Rd South Side,43.71788,-79.455672,1494.0273467099782,301.38103018141936,275.6962288146591
8.0,2016,Dufferin St,Apex Rd South Side,43.716313,-79.455342,1670.276621426545,176.24927471656684,124.74936853891622
9.0,2070,Dufferin St,Lawrence Ave West,43.714241,-79.454916,1903.2025190359336,232.92589760938867,206.27202799001827
10.0,2030,Dufferin St,Claver Ave,43.712312,-79.454494,2120.362566527373,217.16004749143937,321.4804583589114
11.0,2078,Dufferin St,Playfair Ave,43.710983,-79.454179,2270.2937384444895,149.93117191711642,158.43256254641366
12.0,2056,Dufferin St,Glengrove Ave,43.709102,-79.453783,2481.8593892257977,211.5656507813082,242.3486590038314
13.0,2054,Dufferin St,Glencairn Ave,43.707138,-79.453371,2702.742842711589,220.88345348579128,195.32627865961197
14.0,15471,Dufferin St,Wingold Ave,43.703932,-79.452566,3065.05891707182,362.3160743602305,313.05896268867804
15.0,2023,Dufferin St,Briar Hill Ave,43.702508,-79.452277,3225.0956601205467,160.03674304872666,186.7311507936508
16.0,2026,Dufferin St,Castlefield Ave,43.700952,-79.451951,3400.0884014403223,174.99274131977552,310.1167014452431
17.0,2021,Dufferin St,Bowie Ave,43.698016,-79.451269,3731.128451271846,331.04004983152396,379.97838004787275
