group_kind,group,mean_sec,std_sec,n
overall,ALL,536.0602733040507,295.4969949641238,4098
period,Early morning,650.3813559322034,322.6714589464934,118
period,Morning,580.019801980198,301.091463275982,202
period,AM peak,550.3977485928706,211.86487428860795,533
period,Midday,503.1863684771033,234.833621603265,939
period,Afternoon,371.73443223443223,309.49047351666087,546
period,PM peak,544.4865771812081,298.24814239383596,596
period,Early evening,541.4057239057239,323.2887108934175,594
period,Late evening,680.5894736842105,310.50672893110954,570
daytype,MoTuWeThFr,545.8064952638701,268.0722364672729,2956
daytype,Sa,485.4575707154742,348.61517266668426,601
daytype,Su,539.0221811460259,361.6972381698238,541
