group_kind,group,mean_sec,std_sec,n
overall,ALL,524.1007418042594,285.32247701474165,4179
period,Early morning,623.0454545454545,304.14617979101956,132
period,Morning,543.2935779816514,251.24856155224037,218
period,AM peak,550.7850799289521,223.1684608367112,563
period,Midday,489.9802494802495,203.8423280841647,962
period,Afternoon,336.6616666666667,221.10844723714558,600
period,PM peak,515.8297520661157,287.4754048346957,605
period,Early evening,564.2087719298246,324.9602656693077,570
period,Late evening,703.9905482041588,351.00561959354997,529
daytype,MoTuWeThFr,541.7967014473242,263.78323746254284,2971
daytype,Sa,455.09797822706065,329.1682589827925,643
daytype,Su,509.5769911504425,325.60958080966265,565
