stop_id,stop_seq,boardings,alightings,n_trips,avg_boarding_per_trip,headway_sec,lambda_pax_sec,lambda_pax_min
11991,1,1507.0,83.0,4236.0,0.3557601510859301,536.0602733040507,0.0006636569968021949,0.039819419808131695
14537,2,3006.0,209.0,4246.0,0.7079604333490344,536.0602733040507,0.0013206731940523463,0.07924039164314078
14538,3,2874.0,283.0,4238.0,0.6781500707881076,536.0602733040507,0.0012650630993568596,0.07590378596141158
14539,4,4868.0,298.0,4254.0,1.1443347437705689,536.0602733040507,0.0021347128312966925,0.12808276987780154
16098,5,6733.0,436.0,4257.0,1.5816302560488606,536.0602733040507,0.002950470935479615,0.1770282561287769
2066,6,28466.0,1041.0,4300.0,6.62,536.0602733040507,0.01234935758099942,0.7409614548599652
9739,7,2316.0,170.0,4285.0,0.54049008168028,536.0602733040507,0.0010082636386183326,0.06049581831709996
2081,8,30149.0,2776.0,4313.0,6.990261998608857,536.0602733040507,0.013040067221403693,0.7824040332842216
2014,9,3112.0,403.0,4304.0,0.7230483271375465,536.0602733040507,0.0013488190846170707,0.08092914507702424
2057,10,5274.0,1429.0,4305.0,1.2250871080139374,536.0602733040507,0.002285353287724558,0.1371211972634735
2043,11,15870.0,5214.0,4321.0,3.6727609349687573,536.0602733040507,0.0068513954826971216,0.4110837289618273
2033,12,11109.0,5046.0,4331.0,2.5649965365966287,536.0602733040507,0.004784903236322784,0.28709419417936705
2098,13,17742.0,12135.0,4322.0,4.105043961129107,536.0602733040507,0.007657802985151908,0.45946817910911447
2040,14,14730.0,5051.0,4314.0,3.4144645340751043,536.0602733040507,0.006369553395609372,0.3821732037365623
2020,15,63951.0,62597.0,4338.0,14.74204702627939,536.0602733040507,0.027500726616832834,1.65004359700997
2088,16,2107.0,3618.0,4317.0,0.48807041927264305,536.0602733040507,0.0009104767571459486,0.054628605428756916
15197,17,2965.0,7805.0,4322.0,0.6860249884312818,536.0602733040507,0.0012797534579514938,0.07678520747708963
2045,18,5810.0,9329.0,4331.0,1.3414915723851304,536.0602733040507,0.002502501377534916,0.15015008265209495
2022,19,1879.0,4569.0,4325.0,0.4344508670520231,536.0602733040507,0.0008104515269789536,0.04862709161873722
2038,20,3557.0,6427.0,4338.0,0.8199631166436145,536.0602733040507,0.0015296099291031318,0.0917765957461879
2018,21,885.0,4918.0,4329.0,0.20443520443520444,536.0602733040507,0.0003813660788089212,0.02288196472853527
2093,22,18188.0,21517.0,4335.0,4.195617070357555,536.0602733040507,0.007826763666886805,0.4696058200132083
15199,23,1858.0,4029.0,4322.0,0.42989356779268856,536.0602733040507,0.0008019500589793847,0.04811700353876308
10092,24,2752.0,6198.0,4319.0,0.6371845334568187,536.0602733040507,0.001188643451471381,0.07131860708828286
2082,25,7836.0,11491.0,4314.0,1.8164116828929069,536.0602733040507,0.003388446735098102,0.2033068041058861
2048,26,1475.0,2335.0,4283.0,0.34438477702544945,536.0602733040507,0.0006424366702326328,0.038546200213957965
15058,27,2799.0,4186.0,4296.0,0.651536312849162,536.0602733040507,0.0012154161486979168,0.07292496892187501
2052,28,2698.0,3722.0,4270.0,0.6318501170960187,536.0602733040507,0.0011786923011503157,0.07072153806901894
2065,29,1337.0,3057.0,4282.0,0.3122372723026623,536.0602733040507,0.0005824667259488615,0.03494800355693169
2062,30,6111.0,15816.0,4272.0,1.4304775280898876,536.0602733040507,0.002668501284889149,0.16011007709334893
16367,31,1639.0,2222.0,4266.0,0.38420065635255507,536.0602733040507,0.0007167116749474893,0.04300270049684936
15758,32,7672.0,5662.0,4284.0,1.7908496732026145,536.0602733040507,0.003340761780694115,0.2004457068416469
15470,33,2247.0,2331.0,4272.0,0.5259831460674157,536.0602733040507,0.0009812015033784842,0.05887209020270905
2025,34,4243.0,5133.0,4277.0,0.9920505026888006,536.0602733040507,0.0018506323861199735,0.11103794316719841
10262,35,1756.0,1969.0,4263.0,0.4119164907342247,536.0602733040507,0.0007684145071884253,0.04610487043130552
2095,36,1920.0,2525.0,4264.0,0.450281425891182,536.0602733040507,0.0008399828308780207,0.05039896985268124
2053,37,3211.0,4627.0,4256.0,0.7544642857142857,536.0602733040507,0.0014074243574590676,0.08444546144754406
2055,38,1740.0,2336.0,4246.0,0.40979745642958076,536.0602733040507,0.0007644615294913781,0.04586769176948268
15469,39,2434.0,2406.0,4238.0,0.5743275129778197,536.0602733040507,0.0010713860764908127,0.06428316458944876
2029,40,180.0,723.0,4224.0,0.04261363636363636,536.0602733040507,7.949411378870472e-05,0.004769646827322283
2069,41,12218.0,18862.0,4405.0,2.77366628830874,536.0602733040507,0.005174168701614511,0.3104501220968707
2037,42,482.0,787.0,4358.0,0.11060119320789352,536.0602733040507,0.00020632230873255007,0.012379338523953004
2027,43,1823.0,2347.0,4341.0,0.4199493204330799,536.0602733040507,0.000783399444701784,0.04700396668210704
2091,44,6318.0,6395.0,4314.0,1.4645340751043114,536.0602733040507,0.002732032474776647,0.16392194848659883
982,45,2514.0,2097.0,4295.0,0.5853317811408615,536.0602733040507,0.001091914119158881,0.06551484714953286
985,46,4244.0,9055.0,4260.0,0.996244131455399,536.0602733040507,0.0018584554406820112,0.11150732644092068
979,47,376.0,365.0,4250.0,0.08847058823529412,536.0602733040507,0.00016503850899078664,0.009902310539447198
2104,48,673.0,3179.0,4178.0,0.1610818573480134,536.0602733040507,0.00030049206287041636,0.01802952377222498
2108,49,844.0,17270.0,4247.0,0.19872851424534965,536.0602733040507,0.00037072046585446525,0.022243227951267916
