stop_id,stop_seq,stop_name,total_boardings,total_alightings,lambda_pax_sec,lambda_pax_min,cum_dist_m
2107,1,Dufferin St at Wilson Ave South Side,20666.0,1925.0,0.00918717390716945,0.5512304344301671,0.0
2105,2,Dufferin St at Whitley Ave,1483.0,526.0,0.000664851659855958,0.03989109959135748,200.4875926281144
2024,3,Dufferin St at Bridgeland Ave South Side,667.0,939.0,0.0002974190437987809,0.017845142627926854,538.8678682594656
2064,4,Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre,9116.0,3843.0,0.004061079278942476,0.24366475673654858,720.2309588735143
2019,5,Dufferin St at Bentworth Ave,2239.0,2168.0,0.0009948950706160013,0.05969370423696008,1036.01591066056
2076,6,Dufferin St at Orfus Rd,7769.0,6117.0,0.003453747899196723,0.20722487395180336,1192.6463165285588
2087,7,Dufferin St at Samor Rd South Side,2289.0,1898.0,0.00101901095172732,0.06114065710363921,1494.0273467099782
2016,8,Dufferin St at Apex Rd South Side,1022.0,626.0,0.0004501400692867254,0.027008404157203524,1670.276621426545
2070,9,Dufferin St at Lawrence Ave West,20717.0,9710.0,0.009026869135776897,0.5416121481466138,1903.2025190359336
2030,10,Dufferin St at Claver Ave,964.0,670.0,0.00042244856071001387,0.025346913642600832,2120.362566527373
2078,11,Dufferin St at Playfair Ave,3092.0,2688.0,0.0013531259457584723,0.08118755674550834,2270.2937384444895
2056,12,Dufferin St at Glengrove Ave,1919.0,1948.0,0.0008409530995876728,0.05045718597526037,2481.8593892257977
2054,13,Dufferin St at Glencairn Ave,5577.0,2804.0,0.002437261558784406,0.14623569352706436,2702.742842711589
15471,14,Dufferin St at Wingold Ave,1996.0,2003.0,0.0008799510431278031,0.052797062587668184,3065.05891707182
2023,15,Dufferin St at Briar Hill Ave,1358.0,1623.0,0.0005971663746604046,0.035829982479624274,3225.0956601205467
2026,16,Dufferin St at Castlefield Ave,6585.0,3794.0,0.002900364340756445,0.1740218604453867,3400.0884014403223
2021,17,Dufferin St at Bowie Ave,1996.0,2736.0,0.0008779225713824646,0.052675354282947874,3731.128451271846
2046,18,Dufferin St at Ramsden Rd South Side,16537.0,14232.0,0.00722204029621213,0.43332241777272784,3994.5370194728002
2063,19,Dufferin St at Hunter Ave,10940.0,1232.0,0.004816301219692387,0.2889780731815432,4138.124531451943
2086,20,Dufferin St at Rowan Ave,2853.0,1142.0,0.0012606785376121392,0.07564071225672835,4398.957165571281
2079,21,Dufferin St at Preston Rd South Side,4510.0,2436.0,0.0019919481088454295,0.11951688653072577,4599.815448363286
2060,22,Dufferin St at Holmesdale Rd,4796.0,2280.0,0.002107533957585323,0.12645203745511938,4802.708240557562
2049,23,Dufferin St at Eversfield Rd South Side,2046.0,2079.0,0.000903873493988265,0.0542324096392959,5005.747847212906
2083,24,Dufferin St at Rogers Rd,12650.0,6271.0,0.005520718432566496,0.33124310595398976,5162.156066854485
2061,25,Dufferin St at Hope St,5952.0,2316.0,0.0026065171585354834,0.156391029512129,5537.250572310031
2017,26,Dufferin St at Ascot Ave,2521.0,1370.0,0.0011055260690365596,0.06633156414219357,5791.993697097294
2094,27,Dufferin St at St Clair Ave West,22985.0,15627.0,0.010056425648292018,0.6033855388975211,6005.391416660164
2085,28,Dufferin St at Auburn Ave,4402.0,2193.0,0.0019339508582812293,0.11603705149687377,6326.938804080857
2039,29,Dufferin St at Davenport Rd,8042.0,2760.0,0.003523393388162393,0.21140360328974359,6622.652818156784
2028,30,Dufferin St at Chandos Ave,1145.0,553.0,0.000503966432436085,0.0302379859461651,6821.091949432376
2051,31,Dufferin St at Geary Ave,2880.0,1178.0,0.0012676186248174017,0.0760571174890441,7003.229978791538
2044,32,Dufferin St at Dupont St South Side,9319.0,4428.0,0.00409227449150197,0.2455364694901182,7204.7370231617915
2068,33,Dufferin St at Lappin Ave South Side,5309.0,2444.0,0.0023329645080943455,0.13997787048566074,7437.973577108029
2089,34,Dufferin St at Shanly St,2613.0,2085.0,0.0011471888396672643,0.06883133038003586,7767.517067553803
2013,35,Dufferin St at Bloor St West - Dufferin Station,64614.0,56963.0,0.02836104394208891,1.7016626365253344,8149.629723317626
2035,36,Dufferin St at Croatia St South Side,953.0,6762.0,0.00042169589564893315,0.02530175373893599,8371.68756071493
9341,37,Dufferin St at Dufferin Park Ave,7055.0,13012.0,0.0031217886083979257,0.18730731650387555,8466.805346089996
2099,38,Dufferin St at Sylvan Ave,11963.0,15050.0,0.005300920644778092,0.3180552386866855,8747.262086341134
2034,39,Dufferin St at College St,4809.0,11328.0,0.0021333914985733086,0.12800348991439853,8992.994352467555
2041,40,Dufferin St at Dundas St West,4894.0,15324.0,0.0021776817619768457,0.13066090571861075,9321.513047400244
2058,41,Dufferin St at Gordon St,1373.0,5171.0,0.0006123715173947992,0.03674229104368795,9657.639406169113
2015,42,Dufferin St at Alma Ave,468.0,2490.0,0.00020941793973260048,0.012565076383956028,9912.170139478174
